===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.10.152/
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /usr/share/wordlists/dirbuster/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Timeout:                 10s
===============================================================
2022/07/29 13:11:40 Starting gobuster in directory enumeration mode
===============================================================
/27                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F27&errormsg=]       
/legal                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flegal&errormsg=]    
/9                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F9&errormsg=]        
/banners              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fbanners&errormsg=]  
/30                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F30&errormsg=]       
/29                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F29&errormsg=]       
/xml                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fxml&errormsg=]      
/projects             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fprojects&errormsg=] 
/tools                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftools&errormsg=]    
/7                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F7&errormsg=]        
/28                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F28&errormsg=]       
/25                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F25&errormsg=]       
/0                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F0&errormsg=]        
/feed                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffeed&errormsg=]     
/user                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fuser&errormsg=]     
/themes               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fthemes&errormsg=]   
/linux                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flinux&errormsg=]    
/jobs                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fjobs&errormsg=]     
